Time,Value,Aggregate
11:11:50.202000,35.3671875,35.3671875
11:11:51.192000,35.359375,35.3671875
11:11:52.212000,35.3515625,35.359375
11:11:53.201000,35.34375,35.3515625
11:11:54.192000,35.34375,35.34375
11:11:55.196000,35.3515625,35.34375
11:11:56.202000,35.34375,35.3515625
11:11:57.192000,35.3359375,35.34375
11:11:58.196000,35.34375,35.3359375
11:11:59.202000,35.34375,35.34375
11:12:00.192000,35.34375,35.34375
11:12:01.196000,35.3515625,35.34375
11:12:02.203000,35.3671875,35.3515625
11:12:03.191000,35.375,35.3671875
11:12:04.197000,35.375,35.375
11:12:05.203000,35.3828125,35.375
11:12:06.192000,35.375,35.3828125
11:12:07.197000,35.3828125,35.375
11:12:08.202000,35.3828125,35.3828125
11:12:09.193000,35.390625,35.3828125
11:12:10.198000,35.40625,35.390625
11:12:11.203000,35.40625,35.40625
11:12:12.192000,35.3984375,35.40625
11:12:13.197000,35.3984375,35.3984375
11:12:14.203000,35.40625,35.3984375
11:12:15.193000,35.3984375,35.40625
11:12:16.197000,35.3984375,35.3984375
11:12:17.203000,35.3984375,35.3984375
11:12:18.192000,35.40625,35.3984375
11:12:19.198000,35.3984375,35.40625
11:12:20.219000,35.3828125,35.3984375
11:12:21.193000,35.359375,35.3828125
11:12:22.198000,35.3359375,35.359375
11:12:23.203000,35.3359375,35.3359375
11:12:24.193000,35.3671875,35.3359375
11:12:25.198000,35.359375,35.3671875
11:12:26.202000,35.34375,35.359375
11:12:27.192000,35.328125,35.34375
11:12:28.198000,35.328125,35.328125
11:12:29.203000,35.3359375,35.328125
11:12:30.193000,35.3359375,35.3359375
11:12:31.213000,35.3515625,35.3359375
11:12:32.203000,35.3515625,35.3515625
11:12:33.193000,35.359375,35.3515625
11:12:34.198000,35.3828125,35.359375
11:12:35.203000,35.3828125,35.3828125
11:12:36.193000,35.3984375,35.3828125
11:12:37.198000,35.390625,35.3984375
11:12:38.203000,35.390625,35.390625
11:12:39.194000,35.3828125,35.390625
11:12:40.198000,35.3828125,35.3828125
11:12:41.203000,35.390625,35.3828125
11:12:42.194000,35.390625,35.390625
11:12:43.198000,35.390625,35.390625
11:12:44.203000,35.390625,35.390625
11:12:45.193000,35.3984375,35.390625
11:12:46.199000,35.3984375,35.3984375
11:12:47.203000,35.3984375,35.3984375
11:12:48.208000,35.3984375,35.3984375
11:12:49.199000,35.3984375,35.3984375
11:12:50.204000,35.40625,35.3984375
11:12:51.193000,35.40625,35.40625
11:12:52.199000,35.421875,35.40625
11:12:53.202000,35.421875,35.421875
11:12:54.194000,35.4296875,35.421875
11:12:55.199000,35.4375,35.4296875
11:12:56.204000,35.4375,35.4375
11:12:57.193000,35.4453125,35.4375
11:12:58.199000,35.453125,35.4453125
11:12:59.204000,35.4765625,35.453125
11:13:00.193000,35.46875,35.4765625
11:13:01.199000,35.5078125,35.46875
11:13:02.203000,35.53125,35.5078125
11:13:03.194000,35.5546875,35.53125
11:13:04.199000,35.5625,35.5546875
11:13:05.204000,35.578125,35.5625
11:13:06.194000,35.6015625,35.578125
11:13:07.214000,35.6171875,35.6015625
11:13:08.204000,35.6328125,35.6171875
11:13:09.194000,35.640625,35.6328125
11:13:10.199000,35.6484375,35.640625
11:13:11.204000,35.6640625,35.6484375
11:13:12.194000,35.671875,35.6640625
11:13:13.199000,35.6875,35.671875
11:13:14.204000,35.6796875,35.6875
11:13:15.194000,35.6953125,35.6796875
11:13:16.199000,35.71875,35.6953125
11:13:17.204000,35.71875,35.71875
11:13:18.195000,35.7265625,35.71875
11:13:19.199000,35.71875,35.7265625
11:13:20.205000,35.7265625,35.71875
11:13:21.194000,35.703125,35.7265625
11:13:22.200000,35.671875,35.703125
11:13:23.204000,35.640625,35.671875
11:13:24.194000,35.65625,35.640625
11:13:25.199000,35.65625,35.65625
11:13:26.204000,35.6484375,35.65625
11:13:27.194000,35.640625,35.6484375
11:13:28.214000,35.640625,35.640625
11:13:29.205000,35.6640625,35.640625
11:13:30.194000,35.671875,35.6640625
11:13:31.198000,35.671875,35.671875
11:13:32.203000,35.6875,35.671875
11:13:33.193000,35.6953125,35.6875
11:13:34.199000,35.7109375,35.6953125
11:13:35.204000,35.71875,35.7109375
11:13:36.195000,35.7265625,35.71875
11:13:37.198000,35.7265625,35.7265625
11:13:38.203000,35.7265625,35.7265625
11:13:39.209000,35.75,35.7265625
11:13:40.198000,35.765625,35.75
11:13:41.204000,35.7890625,35.765625
11:13:42.193000,35.8046875,35.7890625
11:13:43.198000,35.8125,35.8046875
11:13:44.203000,35.8125,35.8125
11:13:45.194000,35.8203125,35.8125
11:13:46.199000,35.828125,35.8203125
11:13:47.190000,35.8359375,35.828125
11:13:48.195000,35.84375,35.8359375
11:13:49.214000,35.859375,35.84375
11:13:50.190000,35.8671875,35.859375
11:13:51.194000,35.8125,35.8671875
11:13:52.199000,35.84375,35.8125
11:13:53.190000,35.8359375,35.84375
11:13:54.195000,35.84375,35.8359375
11:13:55.200000,35.8515625,35.84375
11:13:56.189000,35.8671875,35.8515625
11:13:57.194000,35.84375,35.8671875
11:13:58.199000,35.796875,35.84375
11:13:59.189000,35.78125,35.796875
11:14:00.194000,35.796875,35.78125
11:14:01.200000,35.7421875,35.796875
11:14:02.189000,35.71875,35.7421875
11:14:03.194000,35.71875,35.71875
11:14:04.199000,35.7265625,35.71875
11:14:05.190000,35.7265625,35.7265625
11:14:06.195000,35.6640625,35.7265625
11:14:07.200000,35.65625,35.6640625
11:14:08.190000,35.65625,35.65625
11:14:09.194000,35.65625,35.65625
11:14:10.200000,35.6640625,35.65625
11:14:11.190000,35.6328125,35.6640625
11:14:12.194000,35.65625,35.6328125
11:14:13.200000,35.625,35.65625
11:14:14.190000,35.5625,35.625
11:14:15.195000,35.6015625,35.5625
11:14:16.200000,35.6015625,35.6015625
11:14:17.189000,35.6015625,35.6015625
11:14:18.194000,35.5390625,35.6015625
11:14:19.199000,35.546875,35.5390625
11:14:20.189000,35.5234375,35.546875
11:14:21.194000,35.53125,35.5234375
11:14:22.201000,35.515625,35.53125
11:14:23.190000,35.4921875,35.515625
11:14:24.195000,35.5,35.4921875
11:14:25.200000,35.5078125,35.5
11:14:26.190000,35.515625,35.5078125
11:14:27.194000,35.5,35.515625
11:14:28.200000,35.53125,35.5
11:14:29.190000,35.546875,35.53125
11:14:30.194000,35.5390625,35.546875
11:14:31.200000,35.546875,35.5390625
11:14:32.190000,35.578125,35.546875
11:14:33.196000,35.578125,35.578125
11:14:34.201000,35.5625,35.578125
